,vector k-w
1,0.0519544
2,0.0522721
3,0.0525332
4,0.0527799
5,0.0528507
6,0.0528052
7,0.0528436
8,0.0528145

,vector w-k
1,0.0529475
2,0.0528831
3,0.0529367
4,0.0528871
5,0.052968
6,0.0529045
7,0.0529926
8,0.0529054

,pointer k-w
1,0.0509963
2,0.0510714
3,0.0510482
4,0.0510541
5,0.0510088
6,0.0512044
7,0.0512507
8,0.0511423

,poin w-k
1,0.0519273
2,0.0519305
3,0.0519233
4,0.0519521
5,0.0519185
6,0.0519334
7,0.0519307
8,0.051952

