,vector k-w
1,0.738166
2,0.740119
3,0.745318
4,0.750687
5,0.752459
6,0.752489
7,0.75258
8,0.752764

,vector w-k
1,0.753476
2,0.754131
3,0.756775
4,0.754147
5,0.753458
6,0.753097
7,0.753225
8,0.753972

,pointer k-w
1,0.728313
2,0.723662
3,0.723608
4,0.729362
5,0.723831
6,0.72373
7,0.723847
8,0.723992

,poin w-k
1,0.714494
2,0.714677
3,0.714805
4,0.714486
5,0.714476
6,0.714411
7,0.714449
8,0.714528

