,iterative,strassen
1,5.7049e-05,0.00188043
2,0.000312552,0.00845134
3,0.000263304,0.00528242
4,0.000140916,0.00457906
5,0.000127264,0.00479945
6,0.000132871,0.00503984
7,0.000144573,0.00534142
8,0.000122144,0.00572736
